inst,density,rows,improved,tie,worse,excluded,best_delta_J
RC101,d25,5,2,0,0,3,-77.97647363491484
RC101,d50,5,2,0,0,3,-52.78970911823285
RC101,d75,5,1,1,0,3,-10.917117358027156
RC102,d25,5,0,2,1,2,0.0
RC102,d50,5,2,0,3,0,-102.73703166400031
RC102,d75,5,1,1,0,3,-33.54101966249681
RC103,d25,5,0,0,0,5,
RC103,d50,5,0,0,0,5,
RC103,d75,5,0,1,2,2,0.0
RC104,d25,5,0,3,2,0,0.0
RC104,d50,5,2,0,1,2,-140.53835819864196
RC104,d75,5,3,1,1,0,-46.01178194485399
RC105,d25,5,0,2,3,0,0.0
RC105,d50,5,1,0,1,3,-174.1494989906259
RC105,d75,5,2,0,2,1,-84.00032781448999
