repeat,problem,density,arrival_scale,seed_Res,seed_J,best_EOH_Res,best_EOH_J,delta_J,class,valid_candidates,suspicious_candidates,invalid_candidates,duration_s,result_file
1,rc102.json,d50,0.7,1.78232374,384.90137862288685,1.8094587,384.90137862288685,0.0,tie,1,0,1,186.83146858215332,C:\Users\24294\.trae\Archive_2\Archive_0422\eoh_go_workspace\reports\tables\eoh_selected_repeats\run_20260426_010821\eoh_arrival_grid_results.json
1,rc102.json,d75,1.0,2.6745710333333332,383.80693185951213,2.6529575,383.80693185951213,0.0,tie,1,0,1,171.1851143836975,C:\Users\24294\.trae\Archive_2\Archive_0422\eoh_go_workspace\reports\tables\eoh_selected_repeats\run_20260426_011127\eoh_arrival_grid_results.json
1,rc104.json,d50,0.8,0.56889715,281.6687557001582,0.463170125,281.6687557001582,0.0,tie,1,0,1,156.4273579120636,C:\Users\24294\.trae\Archive_2\Archive_0422\eoh_go_workspace\reports\tables\eoh_selected_repeats\run_20260426_011419\eoh_arrival_grid_results.json
1,rc104.json,d50,0.6,0.504786975,281.6687557001582,0.74065645,331.28907604801265,49.62032034785443,worse,4,0,0,149.8470549583435,C:\Users\24294\.trae\Archive_2\Archive_0422\eoh_go_workspace\reports\tables\eoh_selected_repeats\run_20260426_011655\eoh_arrival_grid_results.json
1,rc104.json,d75,0.8,8.4359697,119.22086705512665,8.7312062,119.22086705512665,0.0,tie,1,0,1,181.20757865905762,C:\Users\24294\.trae\Archive_2\Archive_0422\eoh_go_workspace\reports\tables\eoh_selected_repeats\run_20260426_011925\eoh_arrival_grid_results.json
1,rc105.json,d50,0.9,0.8318843571428571,476.2752533584295,0.9725528571428572,441.13283496902903,-35.14241838940046,improved,2,0,1,151.54505276679993,C:\Users\24294\.trae\Archive_2\Archive_0422\eoh_go_workspace\reports\tables\eoh_selected_repeats\run_20260426_012226\eoh_arrival_grid_results.json
1,rc105.json,d75,0.9,1.21732748,252.7721610273433,1.27165722,252.7721610273433,0.0,tie,2,0,1,161.97704219818115,C:\Users\24294\.trae\Archive_2\Archive_0422\eoh_go_workspace\reports\tables\eoh_selected_repeats\run_20260426_012458\eoh_arrival_grid_results.json
1,rc105.json,d75,0.6,1.11255708,310.7816720394007,1.28835688,310.7816720394007,0.0,tie,2,0,1,155.70598721504211,C:\Users\24294\.trae\Archive_2\Archive_0422\eoh_go_workspace\reports\tables\eoh_selected_repeats\run_20260426_012740\eoh_arrival_grid_results.json
2,rc102.json,d50,0.7,1.47859534,384.90137862288685,0.28042536,1101.9891919951342,717.0878133722474,worse,3,0,1,147.28435754776,C:\Users\24294\.trae\Archive_2\Archive_0422\eoh_go_workspace\reports\tables\eoh_selected_repeats\run_20260426_013015\eoh_arrival_grid_results.json
2,rc102.json,d75,1.0,3.186487966666667,383.80693185951213,,,,no_eoh,3,0,1,239.78020644187927,C:\Users\24294\.trae\Archive_2\Archive_0422\eoh_go_workspace\reports\tables\eoh_selected_repeats\run_20260426_013243\eoh_arrival_grid_results.json
2,rc104.json,d50,0.8,0.546768775,281.6687557001582,1.629102725,303.078456763553,21.409701063394778,worse,2,0,1,189.18667030334473,C:\Users\24294\.trae\Archive_2\Archive_0422\eoh_go_workspace\reports\tables\eoh_selected_repeats\run_20260426_013642\eoh_arrival_grid_results.json
2,rc104.json,d50,0.6,0.456306675,281.6687557001582,1.874079675,508.09302814237327,226.42427244221506,worse,2,0,1,180.09121298789978,C:\Users\24294\.trae\Archive_2\Archive_0422\eoh_go_workspace\reports\tables\eoh_selected_repeats\run_20260426_013952\eoh_arrival_grid_results.json
2,rc104.json,d75,0.8,8.0157312,119.22086705512665,8.2393327,119.22086705512665,0.0,tie,1,0,1,187.36355471611023,C:\Users\24294\.trae\Archive_2\Archive_0422\eoh_go_workspace\reports\tables\eoh_selected_repeats\run_20260426_014252\eoh_arrival_grid_results.json
2,rc105.json,d50,0.9,0.8130799857142856,476.2752533584295,0.8669474428571429,476.2752533584295,0.0,tie,1,0,1,159.53988528251648,C:\Users\24294\.trae\Archive_2\Archive_0422\eoh_go_workspace\reports\tables\eoh_selected_repeats\run_20260426_014559\eoh_arrival_grid_results.json
2,rc105.json,d75,0.9,1.3354881600000001,252.7721610273433,1.4298546399999998,226.7813442249107,-25.99081680243259,improved,3,0,1,181.83695220947266,C:\Users\24294\.trae\Archive_2\Archive_0422\eoh_go_workspace\reports\tables\eoh_selected_repeats\run_20260426_014839\eoh_arrival_grid_results.json
2,rc105.json,d75,0.6,1.17636292,310.7816720394007,1.3753185399999999,226.7813442249107,-84.00032781448999,improved,2,0,1,163.6908700466156,C:\Users\24294\.trae\Archive_2\Archive_0422\eoh_go_workspace\reports\tables\eoh_selected_repeats\run_20260426_015141\eoh_arrival_grid_results.json
